readable_name,original_name,question_text,field_type,answer_mapping,notes
necessary_data_talent_governance,Q34,"Our organization has the necessary data, talent, and governance structures to successfully implement AI initiatives.",numeric_or_likert,1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree,
percentage_budget_allocated_ai,Q35,"What percentage of your organization’s IT budget is currently allocated to AI-related initiatives (e.g., machine learning, automation, predictive analytics)?",categorical,1=0% (no current investment in AI); 2=1–5%; 3=6–10%; 4=11–20%; 5=More than 20%; 6=Not sure,
effective_delivering_projects_timeliness,Q12,How effective is IT in delivering projects on time and within budget?,numeric_or_likert,"1=Ineffective, rarely delivering projects as planned; 2=Not very effective, often missing deadlines or exceeding budgets; 3=Somewhat effective, with frequent challenges in meeting expectations; 4=Effective, with occasional delays or budget overruns; 5=Very effective, consistently meeting timelines and budgets",
primary_role,Q14,"In your opinion, what is the primary role of IT in your organization?",categorical,1=Enabling operational efficiency; 2=Supporting decision-making; 3=Driving innovation; 4=Managing infrastructure; 5=Cost control and reduction,
contributes_process_innovation_product,Q28,IT contributes more to process innovation than to product/service innovation in my organization.,numeric_or_likert,1=Strongly disagree – IT primarily drives product/service innovation; 2=Disagree – IT contributes more to product/service innovation than process innovation; 3=Neutral – IT contributes equally to both; 4=Agree – IT contributes more to process innovation than product/service innovation; 5=Strongly agree – IT overwhelmingly drives process innovation over product/service innovation,
contribute_achieving_competitive_advantage,Q15,To what extent does IT contribute to achieving a competitive advantage for your organization?,numeric_or_likert,1=IT has little or no contribution to competitive advantage; 2=IT plays a minor role in enhancing competitiveness; 3=IT provides significant support for maintaining a competitive advantage; 4=IT is a major contributor and differentiator in the market,
can_provide_sustainable_competitive,Q27,IT can provide a sustainable competitive advantage in my industry.,numeric_or_likert,1=Strongly disagree – IT provides no sustainable differentiation in this industry; 2=Disagree – IT provides limited or short-term differentiation; 3=Neutral – IT may provide advantage in some situations; 4=Agree – IT can provide meaningful and lasting differentiation; 5=Strongly agree – IT is a major and sustainable source of competitive advantage,
core_infrastructure_become_commodity,Q29,"Core IT infrastructure (e.g., cloud platforms, ERP systems, networks) has become a commodity in my industry.

Commodity refers to technology that is widely available and no longer a source of competitive differentiation.",numeric_or_likert,1=Strongly disagree – Infrastructure capabilities are highly differentiating; 2=Disagree – Infrastructure still provides some differentiation; 3=Neutral – Infrastructure is partially standardized across competitors; 4=Agree – Infrastructure is largely standardized and similar across firms; 5=Strongly agree – Infrastructure is fully commoditized and no longer differentiating,
involved_setting_business_goals,Q16,How involved is IT in setting the overall business goals and strategy of your company?,numeric_or_likert,"1=Not involved in business strategy at all; 2=Limited involvement, mainly consulted when needed; 3=Moderately involved, providing input during planning; 4=Highly involved in strategic planning and decision-making",
perception_leadership,Q17,What is your perception of IT leadership within your organization?,categorical,"1=IT leadership is reactive and lacks vision for the future; 2=IT leadership is mainly operational, focusing on day-to-day tasks; 3=IT leadership is supportive but lacks strategic direction; 4=IT leadership is highly strategic and forward-thinking",
viewed_cost_center_rather,Q30,"In my organization, IT is primarily viewed as a cost center rather than a strategic asset.

Cost center refers to a function primarily viewed as an operational expense rather than a source of strategic value or competitive advantage.",numeric_or_likert,1=Strongly disagree – IT is clearly viewed as a strategic asset; 2=Disagree – IT is mostly seen as a strategic contributor; 3=Neutral – IT is viewed as both operational and strategic; 4=Agree – IT is mostly viewed as a cost center; 5=Strongly agree – IT is viewed strictly as a cost center,
think_alignment_business_needs,Q18,How well do you think IT aligns with the business needs of your organization?,numeric_or_likert,"1=Not aligned at all; 2=Minimally aligned, lacking a strong connection to business needs; 3=Partially aligned, with significant differences in priorities; 4=Mostly aligned, with occasional gaps; 5=Fully aligned, contributing directly to business objectives",
collaboration_between_business_units,Q19,How would you describe the collaboration between IT and business units in your organization?,categorical,"1=Nonexistent, with no collaboration at all; 2=Poor, with limited interaction between IT and business units; 3=Fair, with occasional collaboration, but room for improvement; 4=Good, with regular communication and cooperation; 5=Excellent, with strong partnership and mutual understanding",
it_strategy_importance,Q20,How would you rate the importance of IT to your organization's overall strategy?,numeric_or_likert,"1=IT has minimal impact and is mostly focused on maintaining current operations; 2=IT contributes to specific operational areas but has limited strategic importance; 3=IT plays a supportive role in achieving business goals but is not the primary driver.; 4=IT is seen as a key enabler, significantly contributing to strategic initiatives and growth; 5=IT is considered the main driver that informs and shapes our business strategies",
leverages_capabilities_proactively_shape,Q31,Our organization leverages IT capabilities to proactively shape new business models.,numeric_or_likert,1=Strongly disagree – IT is not involved in shaping business models; 2=Disagree – IT plays a limited role in business model decisions; 3=Neutral – IT occasionally contributes to business model discussions; 4=Agree – IT actively supports new business model development; 5=Strongly agree – IT is central to proactively shaping new business models,
governance_decisions_structured_who,Q21,"Which of the following best describes the IT governance at your company?

IT governance refers to how IT-related decisions are structured and who has authority over them.",categorical,"1=Centralized (IT decision-making is handled at a central level, usually by senior management or a dedicated IT department); 2=Decentralized (IT decision-making is distributed across various departments or locations); 3=Hybrid (A combination of centralized and decentralized IT decision-making); 4=We don't have formal IT governance",
who_makes_decisions,Q22,Who makes the IT-related decisions in your company?,categorical,1=IT Department; 2=Executive Management; 3=Cross-Functional Teams,
think_initiatives_communicated_business,Q23,How well do you think IT initiatives are communicated to the business side of the organization?,numeric_or_likert,"1=Not communicated at all, leaving business units unaware; 2=Poorly communicated, leading to misunderstandings; 3=Somewhat communicated, with gaps in understanding; 4=Well communicated, though there is room for improvement; 5=Very well communicated, with clear and consistent messaging",
biggest_challenge_achieving_effective,Q24,What is the biggest challenge in achieving effective IT and business alignment in your organization?,numeric_or_likert,1=Lack of communication between departments; 2=Differences in priorities between IT and business units; 3=Lack of IT understanding of business goals; 4=Lack of business understanding of IT capabilities; 5=Budgetary constraints limiting IT initiatives,
challenges_see_that_prevent,Q25,"What challenges do you see that prevent IT from playing a more strategic role in your organization? 
(Select up to 3)",multi_select,1=Resistance to change within the organization; 2=Outdated technology infrastructure; 3=Insufficient collaboration between IT and other departments; 4=Insufficient funding or budget for IT initiatives; 5=Shortage of skilled IT personnel; 6=Lack of support from senior leadership; 7=Lack of clear IT governance and decision-making processes,multi-select field (comma-separated codes)
see_role_evolving_over,Q26,How do you see the role of IT evolving in your organization over the next five years?,categorical,"1=Declining in importance, with reduced focus on IT's strategic role; 2=Focused on managing technology infrastructure and maintaining systems; 3=Remaining supportive of operations, with some strategic contributions; 4=Becoming more strategic, driving business growth and innovation",
be_willing_participate_short,Q36,Would you be willing to participate in a short follow-up interview (10–15 minutes) to discuss your responses?,categorical,1=Yes; 2=No,
q_straightliningcount,Q_StraightliningCount,Q_StraightliningCount,metadata,,derived Qualtrics metadata field
q_straightliningpercentage,Q_StraightliningPercentage,Q_StraightliningPercentage,metadata,,derived Qualtrics metadata field
q_straightliningquestions,Q_StraightliningQuestions,Q_StraightliningQuestions,metadata,,derived Qualtrics metadata field
q7_7_text_topics,Q7_7_TEXT - Topics,Q7_7_TEXT - Topics,metadata,,derived Qualtrics metadata field
q7_7_text_parent_topics,Q7_7_TEXT - Parent Topics,Q7_7_TEXT - Parent Topics,metadata,,derived Qualtrics metadata field
q2_6_text_topics,Q2_6_TEXT - Topics,Q2_6_TEXT - Topics,metadata,,derived Qualtrics metadata field
q2_6_text_parent_topics,Q2_6_TEXT - Parent Topics,Q2_6_TEXT - Parent Topics,metadata,,derived Qualtrics metadata field
q9_14_text_topics,Q9_14_TEXT - Topics,Q9_14_TEXT - Topics,metadata,,derived Qualtrics metadata field
q9_14_text_parent_topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Parent Topics,metadata,,derived Qualtrics metadata field
q2_6_text_topic_hierarchy_level,Q2_6_TEXT - Topic Hierarchy Level 1,Q2_6_TEXT - Topic Hierarchy Level 1,metadata,,derived Qualtrics metadata field
q7_7_text_topic_hierarchy_level,Q7_7_TEXT - Topic Hierarchy Level 1,Q7_7_TEXT - Topic Hierarchy Level 1,metadata,,derived Qualtrics metadata field
q9_14_text_topic_hierarchy_level,Q9_14_TEXT - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1,metadata,,derived Qualtrics metadata field
